Tweet,Sentimen
"pemerintah terus berupaya memenuhi kebutuhan warga miskin dan rentan di masa pandemi Covid-19 dengan menyalurkan bantuan sosial. 
Vaksin Tuntaskan Pandemi https://t.co/bMSpIL3DLI",Negatif
"RT @JPenerangan: Sebanyak 28.3 peratus atau 9,246,295 populasi negara ini telah lengkap dua dos suntikan vaksin Covid-19 setakat Selasa, ka…",Positif
mau vaksin degdegan ky mau war krs-an lol semuanya jgn lupa vaksin yyyyy muah,Positif
RT @brgsjks: Sebarkan gais! Vaksin untuk semua. https://t.co/Du6W8tzO28,Netral
"RT @hooniieyy: ugut pagi tadi, malam terus dapat. ha tahu takut aku jadi anti vaksin hahahahahaahha. mana belum dapat boleh cuba 😂 https://…",Positif
@Akunpubg_2020 Kakak udh vaksin 2 blm ya? Mau kesana tapi ngga tau itu vaksin 2 atau 1,Netral
"RT @NaqibAhmd11: Utk vaksin Sinovac, berdasarkan real world study di Chile dan Brazil, ia memerlukan sebulan utk fully effective menentang…",Positif
Abis vaksin rasanya cape atau emg ini aku yg lg kecapean ya wkwk,Negatif
"RT @PemkotJogja: Pendaftaran vaksinasi untuk Warga Kota Yogyakarta kembali dibuka

Waktu Pelaksanaan Vaksin: Sabtu, 13 Agustus 2021
Vaksin:…",Netral
"RT @askfar23: Ya guys, 3 hari dah aku demam. Demam paling sakit seumur hidup aku. Delta Variant punya penangan, yg vaksin pun rasa sakit na…",Negatif
Vaksin pon nk kene kabel ingatkan keje kerajaan je apooooooooooiii,Netral
"Ragam  bantuan sosial reguler seperti Program Keluarga Harapan (PKH), Bantuan Pangan Non Tunai (BPNT), dan bantuan sosial non reguler seperti Bantuan Sosial Tunai (BST), Bantuan Langsung Tunai Dana Desa (BLT-DD), dan bantuan beras 10 Kg. Vaksin Tuntaskan Pandemi https://t.co/BiOPfhYkIh",Positif
"RT @fakhrul_samerin: Taku vaksin sebab ada microchip? Takut boleh detect movement?

Cuba buka Google Map &gt; Menu (3 line kat atas tu) &gt; Time…",Positif
Kalau dekat Penang nih rasanya out of stock teruih apa vaksin tu🥲 https://t.co/RovSnYRM6S,Positif
@bbttrcup Aku masuk web trs buka kartu vaksin udh masukin nik tapi ga keluar2 kenapa ya,Netral
"RT @KediriFess: Cah, ati ati nggih nyetak kartu vaksin e, niat e ben praktis, tapi jo lali dijogo data pribadi ne. Ngunu tok",Netral
"@susterdewigenit Aduhh sus,jgn repot² sus mngkn ada yg lain vaksin...?!",Netral
Badan pegeell bet abis vaksin,Netral
"Bes waktu vaksin kmrn aku ga dapet kartu ini dan niatnya vaksin kedua di tempat lain, yg perlu ditunjukkan apa aja y kalo aku vaksin di tempat lain? Makasih https://t.co/HvSIYDGcSd",Netral
"RT @datukhensem: Soviet Sarawak

Tak vaksin tak boleh kerja.

Hahahahahaja",Netral
Pemerintah telah menyalurkan ragam bantuan jaring pengaman sosial untuk warga di masa pandemi. Vaksin Tuntaskan Pandemi https://t.co/WhSkbgcEPQ,Positif
"RT @BungRetweet: Sertifikat vaksin menjadi syarat untuk bekerja, berbelanja, naik transportasi publik dll. Ada agenda besar apakah ketika v…",Netral
"RT @Flamboyan59: Happy weekend..❤ all.
Ayo Lakukan VAKSIN Demi diri sendiri Dan Org Yg Kamu CINTAI👌👏 pagi ku bhgia ku menyertaimu💕 https://…",Positif
